Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Year,Month,Day
45616,4889,1,19,16,1.4142135623730951,338,239,76,365,1,0,1712,1,1,880,7.726406720779219,2.0,0.0,113.28,6.323372813213581,3,2013.0,11.0,23.0
25026,3412,1,1083,617,1.0,1832,465,5,365,0,9,2513,2,6,264,8.02922467559394,3.0,0.31622776601683794,1124.901,6.3221522282583225,1,2012.0,6.0,13.0
27962,3714,0,148,83,0.0,1915,184,9,365,0,4,240,0,4,914,8.224010685947052,3.0,0.0,1192.86,6.317724097035171,3,2013.0,10.0,28.0
26669,3816,0,648,349,0.0,1829,26,23,365,0,8,2599,2,6,309,7.366748515707821,2.449489742783178,0.0,0.0,6.313076920822171,1,2013.0,12.0,12.0
29600,3337,2,512,315,1.0,507,183,51,365,0,4,3409,2,13,1164,7.558897473897004,1.7320508075688772,0.0,498.33,6.308826773661173,0,2012.0,5.0,25.0
38411,6445,0,798,465,1.0,779,461,122,287,6,12,1150,0,16,638,7.430635947828639,2.449489742783178,0.0,320.3172,6.308244150383459,0,2013.0,5.0,6.0
19195,1843,1,965,570,1.4142135623730951,1434,296,38,365,4,3,1368,1,1,728,7.796946103054479,2.23606797749979,0.31622776601683794,513.36,6.30609278854437,0,2013.0,12.0,2.0
46366,1105,2,1193,720,1.0,1273,546,20,365,2,1,3004,2,13,1133,8.259685912674069,2.449489742783178,0.0,1159.02,6.305472044727312,0,2014.0,12.0,23.0
26731,2708,0,1126,712,1.0,1158,454,91,365,0,11,480,0,5,1229,7.810685150754327,2.6457513110645907,0.5,197.19,6.305344196683669,1,2013.0,1.0,28.0
31278,3500,1,927,574,1.0,1338,465,5,365,0,9,1160,0,16,171,7.522140597901601,1.4142135623730951,0.0,738.96,6.304247685307151,1,2012.0,5.0,7.0
12035,1810,0,935,558,0.0,698,638,6,365,4,3,82,0,4,914,7.972772865443176,2.6457513110645907,0.0,927.78,6.296353970272472,1,2013.0,11.0,27.0
29149,3258,2,965,570,1.4142135623730951,1371,465,5,365,0,9,390,0,5,1368,7.9699456010162795,2.6457513110645907,0.31622776601683794,96.39,6.296317109348734,3,2012.0,11.0,28.0
15896,4520,1,997,595,0.0,248,296,38,365,4,3,2932,2,11,1295,7.609785884820187,3.0,0.3872983346207417,-0.054,6.2948415571323615,0,2012.0,9.0,29.0
18307,1872,2,917,488,1.4142135623730951,1147,296,38,365,4,3,1385,1,1,723,8.057233037200469,2.6457513110645907,0.31622776601683794,34.944,6.293308366965857,1,2013.0,9.0,3.0
21142,3924,3,1096,635,1.0,1458,721,5,365,0,9,3183,2,13,401,8.167769606991689,2.449489742783178,0.31622776601683794,861.372,6.277169666675542,2,2014.0,11.0,19.0
10308,1490,1,768,476,0.0,1041,31,38,365,4,3,3271,2,13,1440,7.681696884605292,2.0,0.3872983346207417,790.416,6.276812647965849,1,2012.0,6.0,19.0
6776,5257,0,475,290,1.0,1533,541,72,365,5,7,3367,2,13,1439,7.846589975291186,2.449489742783178,0.0,178.92,6.275684382929557,3,2012.0,10.0,11.0
16948,1276,0,724,443,0.0,118,79,41,365,4,3,2490,2,6,1524,7.293187733340066,2.23606797749979,0.0,308.4,6.270742654965762,0,2011.0,8.0,9.0
39465,823,3,9,3,1.4142135623730951,1739,716,122,358,6,12,1198,0,16,800,7.619655516624252,2.6457513110645907,0.0,366.6348,6.264844834848903,2,2014.0,11.0,7.0
1873,5359,0,9,3,1.4142135623730951,1207,28,24,365,5,10,115,0,4,444,7.813454114243817,3.0,0.0,914.76,6.262388228869731,1,2013.0,4.0,26.0
29120,3690,1,317,203,0.0,683,547,5,365,0,9,1418,1,1,233,8.226887948124876,2.8284271247461903,0.31622776601683794,747.816,6.261090840635166,1,2013.0,12.0,26.0
17522,1480,1,373,234,1.0,760,390,41,365,4,3,3084,2,13,67,7.9644234159693115,3.0,0.7071067811865476,-1783.08,6.249260701321615,1,2012.0,4.0,5.0
14721,1607,2,951,567,0.0,1994,226,108,365,4,10,160,0,4,1492,7.463248294243287,2.0,0.0,261.24,6.2465717736275845,0,2012.0,12.0,26.0
